Transaction Date,AMC Scheme Name,Transaction Type,Price,Units(Credits/Debits),Balance Units,Amount(Credits/Debits)
04-May-2020,SBI Healthcare Opportunities Fund,SIP Investment,151.57020,6.59800,524.56700,1000.00000
10-Jul-2020,Axis Liquid,STP Redemption,2232.43260,-1.12000,51.54700,-2500.00000
10-Jun-2020,Axis Liquid,STP Redemption,2225.32310,-1.12300,52.66700,-2500.00000
22-Jun-2020,Franklin Templeton India Focused Equity Fund,SIP Investment,39.18640,51.03800,1829.70200,2000.00000
22-Jun-2020,Franklin Templeton Franklin India Smaller Companies,SIP Investment,43.46850,46.01000,1454.64000,2000.00000
10-Jul-2020,Mirae Asset Hybrid Equity Fund,SIP Investment,16.07600,311.00700,6459.56100,5000.00000
22-Jun-2020,Mirae Asset Hybrid Equity Fund,SIP Investment,15.52200,322.12300,6148.55400,5000.00000
10-Jun-2020,Mirae Asset Hybrid Equity Fund,SIP Investment,15.28700,327.07500,5826.43100,5000.00000
01-Jul-2020,SBI Healthcare Opportunities Fund,SIP Investment,156.45480,6.39100,550.29500,1000.00000
22-Jun-2020,SBI Healthcare Opportunities Fund,SIP Investment,160.89260,6.21500,543.90400,1000.00000
01-Jun-2020,SBI Healthcare Opportunities Fund,SIP Investment,153.75800,6.50400,537.68900,1000.00000
